,average_stars,compliment_cool,compliment_cute,compliment_funny,compliment_hot,compliment_list,compliment_more,compliment_note,compliment_photos,compliment_plain,compliment_profile,compliment_writer,cool,elite,fans,funny,name,review_count,useful,user_id,yelping_since
1099,4.58,12,0,12,4,0,9,13,3,4,0,9,252,"2016,2017,2018",30,150,Ali,143,371,d154ba6ab6b59dfe984e2044ad497462,2013-05-12 22:37:57
1100,3.19,0,1,0,1,0,0,0,0,3,0,0,25,,1,24,Marina,40,68,454aaabb64cfecaeab5b9ecd9fb3b55a,2011-03-13 01:51:20
1101,4.11,18,0,18,22,0,2,13,1,4,0,19,60,"2012,2013,2014,2015,2016",7,17,Sarah,93,144,41c762539d0a957611ddfe70caaf26d1,2012-05-09 03:35:05
1102,4.5600000000000005,2,0,2,0,0,0,1,0,0,0,1,23,"2016,2017",2,7,Mike,53,81,b23d500eff61fdf2b5eb1e5e7f4f57c3,2010-09-30 16:19:17
1103,3.95,47,13,47,33,0,5,12,1,16,0,43,526,"2012,2013,2014,2015,2016,2017,2018",41,129,Audrey,321,663,8d8dd6a92a0942f63c8267d007b75e93,2012-04-28 22:51:42
1104,3.85,52,0,52,19,0,5,31,1,140,1,27,194,"2013,2014,2016,2017,2018",11,123,Teresa,159,354,125ea09c4d96c735210057b94f9c8341,2010-12-18 03:38:45
1105,3.77,0,0,0,0,0,0,0,0,1,0,0,7,,3,21,Ron,42,34,8e028c03c0bdc57b4324081eea1ad920,2012-04-11 20:50:03
1106,4.27,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,Dawn,48,5,2b2d75a6092ebe6d927201aebdc414db,2015-12-08 20:37:24
1107,3.9,2,0,2,4,0,1,1,0,2,0,1,42,"2016,2017,2018",7,14,Janice,70,111,ef439894b785fd7e99cdd423bbe7b54a,2015-10-04 02:46:23
1108,3.5,0,0,0,0,0,0,0,0,2,0,1,33,,0,12,Jasmine,48,50,722fddaadccaaa11d2c3a063d02fb141,2010-08-02 22:42:22
1109,3.2800000000000002,1,0,1,0,0,0,1,0,0,0,0,6,,2,5,J. Lynn,25,24,044f22a106f29ba435bf136aec2d6836,2012-08-01 07:47:42
1110,4.05,3,0,3,6,0,0,2,1,6,0,9,78,"2015,2016,2017,2018",10,60,Sanger,114,167,baaedc82245a476c1fa8a7410f6d7d62,2012-02-24 15:48:38
1111,4.0,0,0,0,4,0,0,0,0,2,0,0,26,,3,19,Doug,80,68,4ca5ef98127c8e6234e8952c910befc8,2011-07-02 01:21:56
1112,4.09,1,0,1,0,0,0,0,0,0,0,0,13,,2,9,Ryan,51,25,1c83e68374882ca4747096f8a8c103a3,2012-07-28 23:19:06
1113,4.04,4,0,4,2,1,0,1,0,1,0,0,28,,2,27,Harvey,69,122,360ab7f0c902ed1939db81ced560b796,2011-03-21 05:31:34
1114,4.04,25,0,25,13,0,0,4,1,8,0,16,103,"2014,2015,2016",8,38,Shayna,104,210,cdb430e4a6ceb8e30d60456509344700,2014-08-11 03:22:47
1115,4.12,38,0,38,17,0,0,5,1,6,1,6,78,2014,3,27,Laura,48,149,d6b28ace0fabf606dfae712d9d889924,2012-08-03 14:55:27
1116,3.64,53,0,53,36,4,4,12,23,25,2,47,451,"2015,2016,2017",16,311,Jerlin,136,607,7fed1c358536f7f60a59f5090c728d65,2015-06-13 23:26:57
1117,4.26,2,0,2,0,0,0,0,0,0,0,0,7,,0,4,Laura,97,49,11877e2ead130ff264d8819ff837a1ec,2010-07-13 17:20:02
1118,3.5,2,0,2,3,0,3,0,0,1,0,2,35,2012,1,16,Jeremy,74,97,aadf4a074aefd9b94318c8dfe223ecc7,2010-03-11 04:02:49
1119,4.06,0,0,0,1,0,0,0,0,2,0,2,71,,3,55,Grace,100,96,24797447d5faaf209d74937d1b9fe6e5,2012-07-15 05:28:06
1120,2.85,2,0,2,0,0,1,1,0,1,0,1,16,,2,14,Andrew,58,54,0b1b056911591e0367dc6af81e52153d,2009-01-18 12:44:01
1121,3.16,1,0,1,0,0,0,1,0,0,0,0,8,,3,10,Lizena,22,60,f0a026abde8ccb4e408d5b2bd7fc673c,2012-03-09 01:52:55
1122,3.64,0,0,0,2,0,0,3,1,1,0,1,26,,2,82,J,41,109,2432c4d926c463c873ee6e3d2de8c217,2013-05-06 13:23:31
1123,4.35,45,1,45,37,0,0,8,0,36,0,4,446,"2013,2014,2015,2016",7,329,Joan,179,563,fcce2916c7c6227dd554630ad754a36b,2012-04-29 21:47:30
1124,3.52,0,0,0,0,0,0,2,0,0,0,0,4,,1,7,Stefania,21,30,04c28258239f4bb049c33eed62f07fb8,2014-05-07 13:22:28
1125,3.93,42,0,42,19,0,1,17,11,20,0,20,142,"2013,2014,2015,2016,2017,2018",21,79,Jae,175,486,f53e3af41e949c3ee15bce27cb40331e,2008-12-23 06:57:05
1126,3.95,0,0,0,0,0,0,1,0,0,0,0,2,,0,7,Bret,22,11,2ad1671339b91237fce73f1696baf550,2011-10-04 03:59:44
1127,3.38,27,3,27,17,0,5,29,4,21,1,21,157,"2010,2011,2014,2015,2016",21,158,Alma,146,435,5603f19684432ffb004a5abe96be7636,2009-03-09 04:31:12
1128,3.54,1,0,1,1,0,0,2,0,3,0,1,27,,4,55,Sam,72,115,86b889013e2f7a09ae98052e3e30813f,2010-07-14 21:03:24
1129,3.2,1,0,1,0,0,1,1,1,3,0,0,12,,1,16,Rebecca,31,61,bac2fa5304ace2d5fff56b554e6b6992,2015-07-08 03:12:14
1130,3.03,2,0,2,0,0,1,1,0,1,1,2,14,,3,28,David,60,99,89e035f2c02aa7a11b5659bf048cc712,2011-09-30 15:22:50
1131,4.22,13,1,13,6,0,4,5,1,11,0,2,39,,1,13,Katie,26,94,1e8bbd31899e399995b2f01b411aa83b,2011-10-11 18:28:18
1132,3.13,0,0,0,0,0,0,1,1,0,0,0,7,,0,6,Diana,22,44,a66076249c04dfc324a80d310a58bdbd,2010-01-28 04:18:06
1133,3.91,89,1,89,41,5,18,63,4,68,3,128,1629,"2009,2010,2011,2012,2013,2014,2015,2016,2017,2018",118,763,Brad,1124,3504,aab4e64ed6459e5921c72ac7cb2f34b1,2009-06-04 01:00:47
1134,3.91,4,0,4,1,0,2,5,0,17,1,2,70,,4,54,Patrick,72,104,4bd601f569ce74c89ed32cf06e89379f,2010-03-09 21:24:45
1135,3.35,4,0,4,4,0,0,2,1,2,0,3,26,"2013,2014",7,23,Collin,69,73,e03af1bddf2835931ddbc1f692c45a54,2011-07-03 23:07:16
1136,4.18,1,0,1,0,0,0,2,0,2,0,0,14,,2,10,Andrew,327,104,3cd611b4d4014de302f0e8b192f756b3,2015-07-13 02:16:50
1137,4.92,0,0,0,0,0,0,0,0,0,0,0,4,,0,1,Kevin,37,14,30eaa45ee339a75795436e425ed027b2,2012-09-07 02:25:44
1138,4.82,0,0,0,0,0,0,1,0,0,1,0,8,2016,2,4,Chelsea,40,19,79f7112b3f6dc5ae8f3aa029ff8eb126,2015-03-20 17:20:57
1139,3.44,6,0,6,3,0,0,1,0,4,0,4,20,,11,24,Megan,52,118,256f2b8419c718ad7678c551d104fb01,2013-07-21 19:40:14
1140,2.37,0,0,0,1,0,1,1,0,2,0,0,14,,1,10,Ami,25,54,83127a4d22e21d02d094f59536c88bb5,2009-12-02 07:03:37
1141,4.09,0,0,0,1,0,1,0,0,0,0,0,7,,1,3,Nikki,22,12,aabf55b2356ac3c6ba1a3787a67e4360,2014-02-05 19:56:29
1142,3.87,9,0,9,4,1,3,7,1,7,0,2,77,"2010,2011,2012,2013",8,35,Julie,192,211,12d12c15629a9f21b61ea4cb9abc6358,2009-06-16 08:43:55
1143,3.36,0,0,0,0,0,0,2,0,0,0,0,4,,1,12,Sean,41,51,9d639761290fae8cb8c27d6cc4d3c892,2011-05-05 23:38:51
1144,2.9699999999999998,44,2,44,26,0,6,68,3,61,2,11,428,,17,565,Andrea,448,1019,87339a7b83d8631dd17706dec262a7cf,2008-02-20 00:29:32
1145,3.47,0,0,0,0,0,0,0,1,2,0,0,28,,5,18,Janine,146,58,298dd5653884568da046b84ff9a2a59f,2015-06-03 22:04:01
1146,3.98,0,0,0,0,0,0,1,0,2,0,0,10,,0,10,Ting,43,43,3b989be357f096af7b0e59c1a47b1a66,2012-01-03 17:51:34
1147,4.48,45,2,45,30,0,0,7,7,30,0,16,129,"2014,2015,2016,2017",11,101,Marianne,86,228,2ec9dc56af3f9755a8ed05e1d84ca956,2008-12-30 04:39:53
1148,4.07,1,0,1,2,0,1,1,1,4,0,1,62,,10,26,Michelle,281,118,357397206b2c89a0b68b92b090162b9a,2015-01-12 21:06:40
1149,4.0,1,0,1,1,0,0,1,0,4,0,0,11,,2,5,Peter,44,61,ecaa8fe6ded9dbe2b9de9f54ca8a4732,2011-09-13 02:46:18
1150,4.75,0,0,0,1,0,0,2,0,3,0,1,26,,7,16,Arielle,91,83,6305295b40dc11450cbab37d5a6928d4,2011-05-22 16:20:45
1151,3.63,1,0,1,0,0,0,0,0,1,0,0,10,,3,6,Andrés,30,30,1aa2dc78b10e502b560ee15147b2615f,2012-10-05 03:00:54
1152,4.98,0,0,0,0,0,0,1,0,2,0,1,4,,0,2,Bonnie,36,20,aa08e4be0c786e4d5dfff6a4bc6d6b1e,2012-12-20 06:00:40
1153,4.02,7,0,7,1,0,2,0,0,0,1,2,29,2018,1,8,Sherif,65,36,d1aa240c244fe4d3b52b69e278270df9,2015-04-10 13:22:11
1154,3.66,0,1,0,0,0,0,0,0,3,0,0,18,,2,18,Tina,65,60,37e1155ad7b6bd0aa099010001b42c80,2013-09-03 20:09:24
1155,4.07,0,1,0,1,0,1,1,0,4,0,4,19,"2015,2016,2017,2018",4,5,Levant,116,41,97ab1ed4205135379f062a82a7351f1c,2010-01-21 17:12:51
1156,4.34,0,0,0,0,0,0,0,0,1,0,1,3,,2,2,Mia,30,22,963eb2dd0ebc3fe6cc3e51cf9a06d493,2013-06-02 21:26:42
1157,4.09,3,3,3,11,0,0,2,3,3,1,4,26,,10,23,Danna,87,109,8622f7e627bcd16f5040a03f17cffaec,2010-05-15 15:38:04
1158,3.77,0,0,0,0,0,0,1,0,0,0,0,6,,1,5,Jen,38,28,3c19952354200a9e1db14a9d51cd7094,2014-10-25 20:16:05
1159,3.56,3,2,3,6,0,1,5,6,4,0,2,73,,8,72,Michelle,144,205,8df6b82abd781dfbe0dee8558dcc0127,2012-06-15 19:02:59
1160,3.91,0,0,0,0,0,1,1,0,1,0,3,29,"2015,2016,2017",1,10,Christopher,117,70,e27282a26910061d67c1ebb623be5861,2014-07-21 05:44:37
1161,4.8,0,0,0,0,0,0,1,1,4,0,0,2,,7,0,Sherrill,51,24,c9a8fc5c9d2faefa102d8ecc8b8fc495,2016-04-02 01:28:30
1162,3.83,35,0,35,26,0,7,19,2,26,4,17,200,"2010,2011",21,96,Michael,342,388,070917ea674602d7030ce7793f3c4ad2,2009-07-06 19:38:13
1163,4.1,8,1,8,2,0,1,1,0,3,0,7,36,,5,21,Holly,49,108,3d9e83b031e802e6db23e5f6bf23ccf6,2010-08-23 00:11:31
1164,3.96,0,0,0,0,0,0,1,0,0,0,0,26,,2,26,Domni,67,129,c03a99d19f515476dda3511cb25af2d8,2012-02-25 01:18:56
1165,4.41,6,0,6,1,0,5,6,6,20,1,8,111,"2016,2017,2018",13,66,Sydney,279,278,e4590bee80cf8a4d5b6c0ce7a32a39f8,2010-03-15 08:03:47
1166,3.94,62,0,62,23,0,1,21,4,29,0,24,166,"2014,2015,2016,2017,2018",13,94,Samantha,175,400,785a0b600e60968aea3800a97f0c62a1,2011-11-07 02:30:18
1167,4.35,3,0,3,0,0,0,1,3,0,0,1,35,"2017,2018",7,15,Crystal,117,70,56103846bf8ba665b72ea425160d9df4,2015-12-28 04:57:31
1168,4.23,0,0,0,0,0,0,1,0,0,0,0,25,,1,14,Ronald,57,44,a14d1364c27b42d80f4cdca12d622052,2015-03-01 21:53:20
1169,4.15,1,0,1,0,0,0,3,0,3,0,0,29,"2015,2016",3,21,Joseph,60,76,4aef5ad0534e0082ac95f6bf07beacbe,2013-05-19 19:36:53
1170,4.38,19,0,19,8,0,1,5,8,6,1,1,71,,17,40,Marivic,78,95,5322f4e793daabd9f8d875554a6a4b88,2010-10-18 03:29:02
1171,3.24,0,0,0,0,0,0,0,0,0,0,1,3,,1,7,Lori,52,45,0ebfd60c7afab23cabeb619eb98772f0,2011-02-25 01:07:01
1172,3.67,10,0,10,2,0,0,6,1,10,0,3,102,,6,80,Roxanne,55,192,3166025467ceaf0e4b5bfd6e2701d58b,2014-12-16 22:43:01
1173,4.23,2,0,2,0,0,0,4,0,1,0,0,20,,2,9,Sue,46,37,35da5e0ddb62f2720e21ae63d747be4d,2008-04-28 01:00:25
1174,4.18,0,0,0,0,0,0,0,0,0,0,0,2,,0,2,Alexander,68,7,87e33b64d8b211cfdccd807a34ab3cab,2012-11-27 03:36:03
1175,3.67,0,0,0,3,0,0,1,0,2,0,1,32,2016,4,7,Kristen,57,77,b0c6ea206a2d4cb4c956187cc72c861c,2011-12-13 11:12:28
1176,3.73,25,2,25,10,1,1,22,9,39,0,15,678,"2016,2017,2018",34,628,Chrislynn,315,954,1ece213cd8a25f892247df241fb3a750,2015-07-09 15:31:11
1177,4.0,1,0,1,0,0,1,0,0,0,0,0,4,,1,0,Michael,24,8,f51d1f1eebd31f59b7d987af139fb908,2013-03-18 23:12:26
1178,4.44,3,0,3,0,0,0,0,0,1,1,0,33,,0,42,Bebe,45,84,93682c2b38a370ccc25e52f5b205d57b,2011-03-30 16:35:52
1179,4.47,0,0,0,0,0,0,0,0,0,0,0,11,,3,12,Lindsey,40,60,7a9b9d99cb130e3490a1a79fa82ba0d5,2014-01-09 06:27:25
1180,4.91,4,0,4,1,0,2,3,0,7,0,2,15,,1,7,Linda,33,59,6b06ad6a4d51e7f115dfa6fcd83c6bda,2012-05-20 18:02:19
1181,3.68,7,1,7,0,0,0,3,9,9,0,2,276,"2016,2017,2018",11,25,Clement,169,559,8ce873112b413f2c66fa2b4fdce5a090,2014-08-04 17:35:19
1182,3.8,2,0,2,1,0,0,0,1,2,0,1,27,,2,19,Jason,58,91,961789a47d48f6d52ef64ecd2c7a75a3,2009-06-07 23:34:21
1183,4.49,4,0,4,5,0,0,0,1,3,0,2,114,"2016,2017,2018",11,62,Carissa,195,239,2cc7dc0a5c7b6bf57440b4f8868b906b,2014-08-18 03:39:35
1184,4.04,0,0,0,0,0,0,1,1,0,0,1,7,,1,11,Anthony,28,19,71916cc758a4316cdff071203b2f7ee7,2014-11-08 13:05:43
1185,4.24,0,0,0,0,0,0,1,0,0,0,0,10,,0,3,Sam,20,27,8be24dced1e9697bfa7b7fc575d29549,2014-02-12 05:14:24
1186,3.55,1,0,1,0,0,1,1,0,1,0,0,9,,0,11,Nisha,29,23,5083f55af5065f0b0710922893c59069,2011-04-20 20:45:51
1187,4.02,1,1,1,1,0,0,1,1,4,0,0,42,"2016,2017,2018",3,30,Jose,153,95,8ff80063461acd8d3b587ae12871a988,2013-08-03 11:39:04
1188,3.65,0,0,0,0,0,0,0,0,2,0,0,11,,0,18,Justin,68,52,6f5c68ad766def8949d8f2cd3c783a8c,2010-06-29 15:43:08
1189,3.7,29,0,29,13,0,5,5,2,17,0,12,319,"2010,2011,2012,2013,2014",27,406,Duy,315,467,8aa61d835a74a1c7dcf9481c05dd4af7,2008-07-19 17:21:29
1190,3.66,7,0,7,5,0,2,5,0,11,1,19,249,,11,240,Sara,288,570,e04ca5e67324f6f0d7ff42ec20c23932,2011-05-19 01:53:25
1191,3.6,0,0,0,0,0,0,0,0,0,0,0,2,,0,3,Tori,22,15,1e42a6c61e2bb7ef9a3d23dcc9619d94,2013-09-23 17:19:06
1192,4.14,0,0,0,0,0,0,0,1,0,0,1,12,,1,5,Leonel,42,19,c5c44886b9af06ef12f90e669e55b1b3,2014-10-10 00:23:04
1193,4.1,14,0,14,3,0,4,13,6,5,0,14,142,"2017,2018",23,99,Amy,110,233,c88e5f1e0964e456b36f8eec95256120,2011-09-09 18:14:07
1194,3.99,10,0,10,5,0,1,6,0,10,0,5,80,"2013,2014,2015,2016,2017,2018",14,64,Alberta,215,297,36b5cced7d9193a402c1b239472d4cd4,2011-02-12 15:03:57
1195,3.92,3,0,3,0,0,2,8,3,8,0,4,111,,10,85,P.,395,475,9477884589dfcbfebbf60f99ac58a43f,2012-06-28 04:44:15
1196,4.04,15,0,15,5,0,4,5,3,10,1,9,128,"2016,2017,2018",9,186,Emily,209,374,63b7003cbc01a910ae6ee34dcf631ff7,2011-10-11 14:36:51
1197,4.09,2,0,2,0,0,1,2,0,3,0,4,31,,5,16,Erica,89,107,b20e80d39b4a437ced00682aa58b2394,2011-05-24 12:19:48
1198,4.13,3,0,3,0,0,0,1,0,3,0,0,13,"2017,2018",0,6,Tabitha,45,63,388d44807f1e39f2d62df4f8cea6a4fa,2011-07-23 00:31:26
1199,3.68,6,0,6,6,0,0,6,1,7,0,1,47,2009,11,34,Cynthia,149,100,57993df245ac029b5a58fe3cf25c762d,2008-07-24 00:39:22
1200,4.18,10,1,10,0,0,0,5,1,15,1,4,122,,16,674,Holly,384,568,5403eac8586b5f776d39854896a01017,2011-06-10 17:50:12
1201,3.76,2,0,2,3,0,1,1,1,6,0,1,53,"2015,2016",5,46,Janille,80,131,0064c2d6106c4b8701d2ccae390ffb45,2014-11-18 01:55:10
1202,3.43,0,0,0,1,0,0,4,0,3,1,1,21,,1,26,Bunger,54,97,202fca7c1ae2f40fa94981e219e5f910,2011-08-09 23:02:31
1203,4.09,0,0,0,1,0,0,0,0,0,1,2,6,2018,1,16,Jacquie,42,29,b7a612c18968740b915937a556efd4bf,2015-01-27 02:15:41
1204,2.45,0,0,0,0,0,0,1,0,0,0,0,78,,0,9,Ben,30,107,350954b09fc1fdfc7b12fa6f033ff250,2011-02-14 17:06:47
1205,2.95,2,0,2,0,0,0,2,0,1,0,0,21,"2015,2016",0,23,Mario,82,89,bd99cb0cb4e4cf565db564e0a2270d8e,2014-05-31 12:51:24
1206,3.59,88,2,88,87,2,5,71,22,136,6,58,878,"2010,2011,2012,2013,2014,2015,2016,2017,2018",38,602,Janna,555,1583,0986478aad72bcb4265f081f94736bd1,2010-03-07 05:17:59
1207,2.7,4,0,4,1,0,6,9,0,0,0,5,21,"2013,2014,2015",4,57,Adam,71,147,1fc25c68bfec09714048d45d2b5265e1,2011-07-27 00:36:12
1208,4.13,2,0,2,0,0,0,0,0,3,0,3,26,"2015,2016,2017,2018",2,22,Hinna,124,86,635c1ba82d4349c3cb1657f5afe28fe2,2015-04-23 16:07:05
1209,3.44,7,2,7,3,1,5,5,1,12,3,7,75,"2013,2014,2015",10,52,Stephanie,216,241,f6118d80d8dda0468fd2a259056f764f,2012-07-24 04:57:39
1210,2.7800000000000002,0,0,0,0,0,0,4,0,0,0,1,6,,0,11,Jesse,24,25,d9a02e8d11aec391bef4f66e699933fa,2014-11-12 03:08:23
1211,3.7800000000000002,6,0,6,5,0,4,4,1,6,0,5,56,"2014,2015",5,38,Justin,117,234,e1bede847828416dd7b8e2ebac3c2331,2009-12-10 02:29:08
1212,2.96,2,1,2,1,0,2,8,0,18,2,7,173,"2015,2016,2017",5,199,Rina,216,470,1369628397cbb9a2fe6c55427e2c6466,2010-08-25 18:50:57
1213,3.73,19,0,19,11,1,3,16,3,20,3,15,125,"2012,2013,2015,2016,2017",14,80,Kiran,236,332,65165f665f40fc49e283bba1ced55997,2011-08-27 03:32:39
1214,3.91,79,0,79,17,0,2,49,2,38,1,15,259,,8,204,Michael,144,395,0e72b2084e370cb6008dd246af56129e,2010-03-03 19:37:17
1215,4.33,0,0,0,0,0,0,2,0,1,0,1,33,,6,24,Kathy,196,128,1bdc239601bb7518dfe22883087444bc,2013-09-05 16:47:20
1216,3.55,1,0,1,1,0,1,0,0,2,0,0,23,2018,5,14,Daniel,121,73,ab8e9f45eabdd71798e5b240d58a794f,2014-01-05 16:45:56
1217,3.87,2,0,2,4,0,2,3,3,1,0,1,33,"2015,2016,2017",11,15,Amy,58,56,9b02da59edfeb0a101f6dfa57072a1cc,2012-12-29 23:39:09
1218,3.69,1,0,1,0,0,0,1,0,1,0,0,7,,0,7,Y,38,34,79a4e2c0af0eddc1d81089e6c008723f,2010-02-08 19:39:01
1219,3.7199999999999998,2,0,2,0,0,0,2,0,1,0,0,24,,3,19,Naomi,70,36,85cc0f2cb01015e23ac4794563998875,2013-08-28 01:43:04
1220,3.95,1,0,1,2,0,1,0,0,3,0,3,28,"2012,2013",3,13,Michael,76,68,3c363441e5aedbad8bbdb67c3a706323,2011-04-29 23:04:30
1221,3.5300000000000002,1,0,1,0,0,1,1,0,0,0,3,9,"2017,2018",3,4,Ranji,37,31,5eef34d9a3d1e92baa23e6016a0886e4,2017-01-23 02:38:26
1222,4.16,0,0,0,1,0,0,1,1,1,0,2,26,"2014,2015",1,25,Pierre-Frederic,70,75,4a625f335699bc76bcaeda5ca9415da0,2013-04-15 01:50:46
1223,3.92,1,0,1,0,0,0,0,1,0,0,0,11,,1,4,Yamishizen,49,43,2ebcc52980fc0e20346c978429d8b5da,2016-04-27 23:50:25
1224,3.88,0,0,0,0,0,0,2,0,2,0,0,11,,2,8,Charmaine,26,22,b6bebba905ea5911e3ab38556d452e2f,2014-01-12 19:42:35
1225,2.85,2,0,2,2,0,0,2,0,3,0,0,3,,1,12,Chris,22,33,93cafe8b11070ce1f40b09a20fd34e33,2012-04-13 04:41:53
1226,4.36,1,0,1,0,0,0,0,0,1,0,0,8,,1,8,Susana,30,33,65aa3d18324299414cdb4a0d09d81bfc,2014-01-14 21:10:25
1227,4.48,0,0,0,0,0,0,1,0,0,0,0,6,,0,1,Sterling,31,28,b3e5530dfb3c31ebfa23960ea99c96e5,2012-03-21 23:51:42
1228,3.7800000000000002,1,3,1,0,0,2,3,3,2,0,0,36,2016,1,32,Eric,109,176,4d1b4aad4e756ccf5ef76eec4599f0a4,2007-07-30 16:21:24
1229,3.67,5,0,5,4,0,1,4,0,1,0,2,29,2014,2,27,Stephanie,66,81,348e42c65fbd63fd8d4154f367dc8576,2012-08-06 15:44:22
1230,3.51,4,0,4,3,0,2,4,2,4,0,3,61,"2017,2018",39,35,Victoria,71,182,759c7236913957ae393e9dbbc22f9262,2015-05-24 17:11:52
1231,3.69,17,0,17,7,0,0,5,0,23,0,15,362,"2014,2015,2016,2017,2018",7,241,Dale,304,650,9f3c8fde89155d4384709473abd119e4,2014-02-02 00:12:29
1232,2.68,0,0,0,0,0,1,2,0,2,0,1,1,,0,6,Paul,28,22,f554351047518ccc0e0276bba1624528,2011-01-30 22:37:11
1233,4.16,0,0,0,0,0,0,1,1,1,0,0,7,2018,1,11,Nicole,49,28,5567ca8139e57d86d29cdb9fc59f13f5,2013-06-15 22:27:11
1234,3.2,2,2,2,2,0,0,0,0,4,0,1,19,,18,17,Priscilla,41,73,5a33bb67c734d01dec6facb2cef8f99e,2014-07-17 03:31:51
1235,3.68,0,0,0,0,0,0,0,0,0,0,0,10,,0,1,Alexandraiah,30,18,67cf2e6bd36ad6a22de40342edda93f9,2015-11-25 16:14:13
1236,3.45,3,0,3,0,0,0,4,2,2,0,7,95,"2017,2018",11,179,Charles,333,412,51cd2182e95af22238f5edac8186054a,2012-02-14 17:46:12
1237,4.21,1,0,1,0,0,1,4,0,0,0,1,10,,1,6,Nikki,52,26,f396f4d47c3179bc236af1556005f979,2013-02-12 20:05:07
1238,3.45,2,0,2,1,0,0,3,0,6,1,4,120,"2012,2013",5,108,Sandra,133,363,34247207a1e8988efdaaca5e23559b0b,2010-09-26 16:32:26
1239,4.52,12,0,12,4,0,0,8,14,21,1,1,225,,19,113,Sally,174,306,e2648efcf487d3af5cb521ae31407178,2009-01-06 20:31:01
1240,3.59,2,0,2,0,0,0,1,0,1,0,6,51,"2016,2017,2018",10,54,Latha,211,153,375f0038ce2ef10d2ef09f5776228662,2011-03-23 06:49:09
1241,4.14,0,0,0,0,0,0,0,0,0,0,0,1,,0,1,Lindsay,19,19,f643f344186c3b84ec0ac6d81db81c98,2016-02-13 23:59:03
1242,4.08,0,0,0,0,0,0,1,0,1,1,2,5,"2016,2017",2,1,Jess,37,29,ac7eb6088407b8f5fe231ed47c147901,2016-05-28 15:08:14
1243,3.25,21,0,21,5,0,2,17,0,16,0,10,90,"2014,2015,2016,2017",9,62,Kyara,148,370,d9bb38e56c13f7ad1a43d4f808a1bfa4,2013-05-03 01:01:12
1244,3.52,28,0,28,13,1,3,25,8,29,2,19,132,"2014,2015",17,109,Adam,344,605,22091c587e06c0fb23aa680768d1f638,2012-05-01 02:34:27
1245,2.3,1,0,1,0,0,0,2,0,4,0,0,18,,2,54,Sera,42,74,b0b66a5b01420d6d2cd1f7b8740268f4,2008-12-21 06:04:59
1246,3.9699999999999998,8,0,8,7,0,0,3,2,1,0,1,32,"2017,2018",3,8,Jose Bien,100,53,e605515f347d14cf47caee03c32d64d8,2017-05-31 22:10:29
1247,4.41,8,0,8,3,0,0,1,1,7,0,7,70,2016,14,21,Brianna,78,131,baad23d2961db30b562b26899addcef6,2014-08-20 16:29:26
1248,2.52,0,0,0,0,0,0,1,0,0,0,1,7,,1,10,Margeaux,24,57,0eb907293cc67c73ac2794eb6911ef70,2012-09-01 00:39:24
1249,4.02,0,0,0,0,0,0,1,0,0,0,0,9,,0,3,Lynn,53,41,4aa242f6c919765f119be24b261dc5d5,2008-08-18 21:43:28
1250,4.03,0,0,0,1,0,0,0,0,0,0,0,5,,2,8,Ted,56,14,2a4c1e4ab2eec84369c723321a91a237,2015-01-10 02:19:32
1251,3.79,0,0,0,0,0,0,4,0,2,0,0,5,,1,11,Goblin,34,29,eaa48a5ab3cb77f674526cb70fbc032d,2011-04-18 19:37:10
1252,3.67,10,0,10,5,0,4,4,3,8,0,9,87,"2017,2018",9,55,Nicole,61,183,4cf1fddb3dbd23b5fcb0843a3d59b466,2011-08-28 20:27:53
1253,4.3,0,0,0,0,0,0,3,1,0,0,2,24,,4,10,Jason,28,98,7ca8fc8e6677687aae4db17764c7ebd5,2008-08-01 03:01:54
1254,4.46,0,0,0,0,0,0,0,0,0,0,0,3,,0,0,Sean,36,13,9de80de541354bfbd938e610f33fb5cf,2016-08-02 05:44:42
1255,4.3,0,0,0,0,0,0,0,0,0,0,1,2,,0,1,Maple,58,9,7b1091900baf6db1c9291df7ad57b4d2,2013-05-12 16:42:40
1256,4.16,24,4,24,7,0,1,9,0,18,0,5,228,,10,88,Danielle,148,454,85b77a6fd74ebf0af66ea4db06bdb856,2009-04-12 22:39:13
1257,3.32,3,0,3,0,0,0,3,0,1,0,1,18,,1,18,Michael,49,105,659ca47404fa55ae7138341b54883ca8,2012-01-16 06:04:44
1258,4.28,6,0,6,2,0,0,3,0,2,0,3,43,,2,47,Mike,39,75,a643143a3ce9452117faed28555fb906,2010-06-25 16:35:18
1259,2.74,1,0,1,0,0,0,0,0,2,0,0,9,,0,16,Becky,52,44,cb7ba8ce70bf4bf39de8973f51e0430e,2012-03-08 04:10:39
1260,4.08,20,1,20,13,0,0,6,1,4,0,10,103,"2015,2016,2017,2018",9,71,Paul,98,233,88b9e8eee0a6f7c401b1835fc2d98b2f,2014-10-10 17:27:17
1261,3.67,20,0,20,12,0,0,20,1,18,1,5,116,2009,6,63,Tim,46,201,d54c3ac907e8b7f28f8f433e816409e3,2007-01-28 20:39:18
1262,4.53,1,0,1,0,0,0,1,0,5,0,0,19,,3,11,Eugene,45,61,8487a28d784d9b506885ebd0cd603362,2011-01-18 15:33:49
1263,3.42,2,0,2,2,0,3,2,1,5,0,6,126,"2016,2017,2018",13,78,David,130,266,5b99ba382ea1f031ee32f0de393208ae,2015-01-15 19:33:54
